"","df_m.full_address","df.town","query","lat","lon","lat_min","lat_max","lon_min","lon_max"
"7537","299C, COMPASSVALE STREET, SENGKANG, SINGAPORE","SENGKANG","299C, COMPASSVALE STREET, SENGKANG, SINGAPORE",1.3943457,103.901093,1.3943457,1.3944454,103.900797,103.901093
"7538","122C, SENGKANG EAST WAY, SENGKANG, SINGAPORE","SENGKANG","122C, SENGKANG EAST WAY, SENGKANG, SINGAPORE",1.3911033,103.9006604,1.3910934,1.3911033,103.9006604,103.9010239
"7539","143, LOR 2 TOA PAYOH, TOA PAYOH, SINGAPORE","TOA PAYOH","143, LORONG 2 TOA PAYOH, SINGAPORE",1.3322283,103.8464891,1.3322283,1.3324591,103.8464891,103.8465615
"7540","131B, KIM TIAN ROAD, BUKIT MERAH, SINGAPORE","BUKIT MERAH","131B, KIM TIAN ROAD, SINGAPORE",1.2845506,103.8294984,1.2841331,1.2846609,103.8294951,103.8295109
"7541","131C, KIM TIAN ROAD, BUKIT MERAH, SINGAPORE","BUKIT MERAH","131C, KIM TIAN ROAD, SINGAPORE",1.2845506,103.8294984,1.2841331,1.2846609,103.8294951,103.8295109
"7542","471, SEGAR ROAD, BUKIT PANJANG, SINGAPORE","BUKIT PANJANG","471, SEGAR ROAD, BUKIT PANJANG, SINGAPORE",1.3863048,103.7718644,1.3863048,1.386643,103.7718644,103.7720808
"7543","608, SENJA ROAD, BUKIT PANJANG, SINGAPORE","BUKIT PANJANG","608, SENJA ROAD, SINGAPORE",1.3843713,103.7605154,1.3842769,1.384611,103.7603207,103.7605345
"7544","654, SENJA ROAD, BUKIT PANJANG, SINGAPORE","BUKIT PANJANG","654, SENJA ROAD, SINGAPORE",1.3843713,103.7605154,1.3842769,1.384611,103.7603207,103.7605345
"7545","7, PINE CLOSE, GEYLANG, SINGAPORE","GEYLANG","7, PINE CLOSE, GEYLANG, SINGAPORE",1.3074551,103.882708491476,1.3070747,1.3078809,103.8823391,103.8828925
"7546","651B, JURONG WEST STREET 61, JURONG WEST, SINGAPORE","JURONG WEST","651B, JURONG WEST STREET 61, JURONG WEST, SINGAPORE",1.334749,103.6989619,1.334749,1.3348771,103.6989579,103.6989619
"7547","662C, JURONG WEST STREET 64, JURONG WEST, SINGAPORE","JURONG WEST","662C, JURONG WEST STREET 64, JURONG WEST, SINGAPORE",1.338367,103.7045563,1.3382852,1.338367,103.7045563,103.704585
"7548","666B, JURONG WEST STREET 65, JURONG WEST, SINGAPORE","JURONG WEST","666B, JURONG WEST STREET 65, JURONG WEST, SINGAPORE",1.3404394,103.7009537,1.3404394,1.3405415,103.7009384,103.7009537
"7549","416, CANBERRA ROAD, SEMBAWANG, SINGAPORE","SEMBAWANG","416, CANBERRA ROAD, SEMBAWANG, SINGAPORE",1.4493003,103.8216886,1.4491541,1.4495431,103.8215805,103.8217536
"7550","507D, WELLINGTON CIRCLE, SEMBAWANG, SINGAPORE","SEMBAWANG","507D, WELLINGTON CIRCLE, SEMBAWANG, SINGAPORE",1.4522063,103.8206428,1.4521765,1.4522063,103.8205692,103.8206868
"7551","321C, ANCHORVALE DRIVE, SENGKANG, SINGAPORE","SENGKANG","321C, ANCHORVALE DRIVE, SENGKANG, SINGAPORE",1.3895002,103.8921883,1.3894794,1.3895702,103.8919711,103.8922529
"7552","305B, ANCHORVALE LINK, SENGKANG, SINGAPORE","SENGKANG","305B, ANCHORVALE LINK, SENGKANG, SINGAPORE",1.3891386,103.888617587746,1.388901,1.3893763,103.8884246,103.8888555
"7553","307D, ANCHORVALE ROAD, SENGKANG, SINGAPORE","SENGKANG","307D, ANCHORVALE ROAD, SENGKANG, SINGAPORE",1.3938025,103.8873209,1.3934543,1.3938025,103.8872776,103.8873209
"7554","308A, ANCHORVALE ROAD, SENGKANG, SINGAPORE","SENGKANG","308A, ANCHORVALE ROAD, SENGKANG, SINGAPORE",1.3938025,103.8873209,1.3934543,1.3938025,103.8872776,103.8873209
"7555","308B, ANCHORVALE ROAD, SENGKANG, SINGAPORE","SENGKANG","308B, ANCHORVALE ROAD, SENGKANG, SINGAPORE",1.3938025,103.8873209,1.3934543,1.3938025,103.8872776,103.8873209
"7556","308C, ANCHORVALE ROAD, SENGKANG, SINGAPORE","SENGKANG","308C, ANCHORVALE ROAD, SENGKANG, SINGAPORE",1.3938025,103.8873209,1.3934543,1.3938025,103.8872776,103.8873209
"7557","404B, FERNVALE LANE, SENGKANG, SINGAPORE","SENGKANG","404B, FERNVALE LANE, SINGAPORE",1.3882662,103.873489855066,1.388146,1.3883804,103.873357,103.8736245
"7558","183B, RIVERVALE CRESCENT, SENGKANG, SINGAPORE","SENGKANG","183B, RIVERVALE CRESCENT, SENGKANG, SINGAPORE",1.388552,103.9078755,1.388552,1.3885895,103.9077357,103.9078755
"7559","583, WOODLANDS DRIVE 16, WOODLANDS, SINGAPORE","WOODLANDS","583, WOODLANDS DRIVE 16, WOODLANDS, SINGAPORE",1.4317597,103.7970495,1.4314908,1.4319091,103.7957582,103.7985906
"7560","309A, ANG MO KIO STREET 31, ANG MO KIO, SINGAPORE","ANG MO KIO","309A, ANG MO KIO STREET 31, ANG MO KIO, SINGAPORE",1.3672358,103.8448379,1.3672358,1.3673147,103.8447302,103.8448379
"7561","17, CANTONMENT CLOSE, BUKIT MERAH, SINGAPORE","BUKIT MERAH","17, CANTONMENT CLOSE, SINGAPORE",1.2738203,103.839883191104,1.2736793,1.2739714,103.8397516,103.8400072
"7562","119D, KIM TIAN ROAD, BUKIT MERAH, SINGAPORE","BUKIT MERAH","119D, KIM TIAN ROAD, SINGAPORE",1.2845506,103.8294984,1.2841331,1.2846609,103.8294951,103.8295109
"7563","17, TELOK BLANGAH CRESCENT, BUKIT MERAH, SINGAPORE","BUKIT MERAH","17, TELOK BLANGAH CRESCENT, SINGAPORE",1.2777451,103.821646434136,1.2775592,1.2779099,103.8215592,103.8220121
"7564","610, SENJA ROAD, BUKIT PANJANG, SINGAPORE","BUKIT PANJANG","610, SENJA ROAD, SINGAPORE",1.3843713,103.7605154,1.3842769,1.384611,103.7603207,103.7605345
"7565","612, SENJA ROAD, BUKIT PANJANG, SINGAPORE","BUKIT PANJANG","612, SENJA ROAD, SINGAPORE",1.3843713,103.7605154,1.3842769,1.384611,103.7603207,103.7605345
"7566","618, SENJA ROAD, BUKIT PANJANG, SINGAPORE","BUKIT PANJANG","618, SENJA ROAD, SINGAPORE",1.3843713,103.7605154,1.3842769,1.384611,103.7603207,103.7605345
"7567","624, SENJA ROAD, BUKIT PANJANG, SINGAPORE","BUKIT PANJANG","624, SENJA ROAD, SINGAPORE",1.3843713,103.7605154,1.3842769,1.384611,103.7603207,103.7605345
"7568","655, SENJA ROAD, BUKIT PANJANG, SINGAPORE","BUKIT PANJANG","655, SENJA ROAD, SINGAPORE",1.3843713,103.7605154,1.3842769,1.384611,103.7603207,103.7605345
